string,date,url,author,source,category
"Keep Your Account Safe From the Latest YouTube Phishing Scam: A recent report from Google’s Threat Analysis group highlights a phishing campaign targeting YouTube content creators. Hackers successfully hijacked thousands of channels, which were either sold off or used to launch financial scams against the channel’s view…: A recent report from Googles Threat Analysis group highlights a phishing campaign targeting YouTube content creators. Hackers successfully hijacked thousands of channels, which were either sold off o… [+4023 chars]",2021-10-22T14:30:00Z,https://lifehacker.com/keep-your-account-safe-from-the-latest-youtube-phishing-1847912433,Brendan Hesse,"{'id': None, 'name': 'Lifehacker.com'}",data
"NASA's uncrewed Artemis mission around moon is finally scheduled to liftoff in February, following delays caused by the pandemic and Hurricane Ida: Artemis 1, which is due to launch early next year, would be the first step in NASA's eventual plan to return people to the moon.: NASA announced it is aiming to launch its uncrewed flight to the moon in February 2022, following a four-month delay. 
The Artemis 1 mission was originally scheduled to launch in November, but delay… [+1577 chars]",2021-10-23T12:07:54Z,https://www.businessinsider.com/nasa-artemis-uncrewed-mission-february-liftoff-moon-2021-10,ztayeb@businessinsider.com (Zahra Tayeb),"{'id': 'business-insider', 'name': 'Business Insider'}",space
"Blue Origin, Boeing chart course for 'business park' in space - Reuters: Billionaire Jeff Bezos-owned Blue Origin on Monday unveiled plans to develop a commercial space station called ""Orbital Reef"" with Boeing <a href=""https://www.reuters.com/companies/BA.N"" target=""_blank"">(BA.N)</a>, aiming to launch the spacecraft in the secon…: Amazon and Blue Origin founder Jeff Bezos addresses the media about the New Shepard rocket booster and Crew Capsule mockup at the 33rd Space Symposium in Colorado Springs, Colorado, United States Apr… [+1494 chars]",2021-10-25T18:32:00Z,https://www.reuters.com/business/aerospace-defense/blue-origin-boeing-chart-course-business-park-space-2021-10-25/,,"{'id': 'reuters', 'name': 'Reuters'}",space
"Elon Musk says SpaceX could launch Starship orbital flight test next month - Space.com: <ol><li>Elon Musk says SpaceX could launch Starship orbital flight test next month  Space.com
</li><li>How SpaceX ignited a new Raptor engine on Starship without an explosion  Ars Technica
</li><li>SpaceX test fires Starship as FAA reviews key license for f…: SpaceX's latest Starship prototype could blast off into orbit earlier than expected. 
Yesterday (Oct. 21), SpaceX completed a successful static fire test with its SN20 Starship prototype. This was a… [+2629 chars]",2021-10-22T18:45:04Z,https://www.space.com/elon-musk-starship-orbital-launch-schedule,Chelsea Gohd,"{'id': None, 'name': 'Space.com'}",space
"How Wavelets Let Researchers Transform and Understand Data: Built upon the ubiquitous Fourier transform, these mathematical tools allow unprecedented analysis of continuous signals.: In an increasingly data-driven world, mathematical tools known as wavelets have become an indispensable way to analyze and understand information. Many researchers receive their data in the form of c… [+4315 chars]",2021-10-24T12:00:00Z,https://www.wired.com/story/how-wavelets-let-researchers-transform-and-understand-data/,Alexander Hellemans,"{'id': 'wired', 'name': 'Wired'}",data
"NASA completes stacking rocket for Moon mission - CanIndia News: <ol><li>NASA completes stacking rocket for Moon mission  CanIndia News
</li><li>NASA sets Artemis 1 launch for no earlier than February  SpaceNews
</li><li>Senate Debates Uncertain Future of U.S. Spaceflight  Scientific American
</li><li>NASA Artemis Moon …: NASA has completed stacking of its mega-Moon rocket and spacecraft that will launch the next generation of deep space operations, including Artemis missions on and around the Moon, the agency said.
… [+2211 chars]",2021-10-24T09:38:05Z,https://www.canindia.com/nasa-completes-stacking-rocket-for-moon-mission/,,"{'id': None, 'name': 'CanIndia News'}",space
"Firefly completes design of Moon mission, aiming for 2023 launch: ""We’ve picked good partners, and we’ve watched them carefully."": Enlarge/ An artist's rendering of Firefly's Blue Ghost spacecraft landing on the Moon.
4 with 3 posters participating
Although Firefly Aerospace is only a few weeks removed from its first-ever laun… [+3748 chars]",2021-10-25T13:10:29Z,https://arstechnica.com/science/2021/10/firefly-completes-design-of-moon-mission-aiming-for-2023-launch/,Eric Berger,"{'id': 'ars-technica', 'name': 'Ars Technica'}",space
"Amazon offers up more data to tell third-party sellers which items will be popular: Amazon has announced a tool called Product Opportunity Explorer to give sellers access to data so they can more easily figure out what kind of products and product categories they should be pursuing.: Amazons history of using data is rocky
Illustration by Alex Castro / The Verge
Amazon has announced a tool that will give sellers access to information about what shoppers are currently looking for… [+2424 chars]",2021-10-20T19:05:48Z,https://www.theverge.com/2021/10/20/22736658/amazon-product-opportunity-explorer-tool-sellers-amazon-basics-data,Mitchell Clark,"{'id': 'the-verge', 'name': 'The Verge'}",data
"She Is Breaking Glass Ceilings in Space, but Facing Sexism on Earth: Sanitary pads and makeup: A Chinese astronaut’s six-month stay aboard the country’s space station has revealed conflicted cultural values toward gender.: In highly scripted appearances in state media, Colonel Wang has expressed pride in her accomplishments as the second Chinese woman in space, and the first to go twice.
Colonel Wang grew up in Yantai… [+1037 chars]",2021-10-23T09:00:15Z,https://www.nytimes.com/2021/10/23/world/asia/china-space-women-wang-yaping.html,Steven Lee Myers,"{'id': None, 'name': 'New York Times'}",space
"Senior industry leaders need to learn about AI - Reuters: Imagine this. You are President of the United States. It's your dream job, because you have more power than anyone else in the world, and nobody ever criticizes you. It's nothing but four years of Nirvana (the transcendent state, not the Seattle Grudge band).: <ul><li>
Epstein Becker &amp; Green, P.C.
</li></ul>
The company and law firm names shown above are generated automatically based on the text of the article. We are improving this feature as we co… [+9723 chars]",2021-10-22T15:17:00Z,https://www.reuters.com/legal/legalindustry/senior-industry-leaders-need-learn-about-ai-2021-10-22/,,"{'id': 'reuters', 'name': 'Reuters'}",data
